GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	isEAE_ceoff	isEAE_ELBO_gain	isEAE_pval	isEAE_FDR
ENSMUSG00000024843	3815	1008	1.834e-01	1.201e+00	4.340e+00	1.097e+00	9.702e-01	1.636e-01	3.132e-01
ENSMUSG00000021745	487	110	3.216e-02	-3.283e+00	4.871e+00	-6.744e-01	-6.268e-01	1.000e+00	1.000e+00
ENSMUSG00000016128	4123	176	1.178e-01	4.493e+00	3.820e+00	-3.236e+00	1.141e+00	1.309e-01	3.132e-01
ENSMUSG00000022475	1623	258	1.934e-01	-3.316e-01	1.610e+00	-8.036e-01	2.350e+00	3.017e-02	1.068e-01
ENSMUSG00000062209	591	248	3.940e-02	3.888e+00	3.673e+00	6.988e-01	-5.856e-02	1.000e+00	1.000e+00
ENSMUSG00000038957.AS2	3768	1332	7.609e-02	-1.332e-01	5.479e+00	1.555e+00	1.763e-01	5.527e-01	7.087e-01
ENSMUSG00000025572	9608	836	2.201e-01	-7.245e+00	2.952e+00	-3.333e-01	1.011e+00	1.551e-01	3.729e-01
ENSMUSG00000022070	2423	374	8.197e-02	2.944e+00	6.742e+00	-2.425e+00	1.813e+00	5.688e-02	2.886e-01
ENSMUSG00000073131	4201	408	2.640e-01	-6.323e+00	1.619e+00	2.034e-01	7.092e-02	7.065e-01	8.333e-01
ENSMUSG00000017802.AS3	35826	1640	2.391e-01	1.810e+00	5.395e+00	-6.016e-01	1.743e+00	6.191e-02	2.886e-01
ENSMUSG00000021147	611	215	4.755e-02	5.301e+00	2.056e+00	-4.688e-01	-8.484e-02	1.000e+00	1.000e+00
ENSMUSG00000020212	1631	297	3.850e-02	2.275e+00	4.945e+00	4.868e-02	5.735e-01	2.842e-01	4.802e-01
ENSMUSG00000033352	4667	2339	1.612e-01	2.715e+00	3.195e+00	2.529e+00	7.298e+00	1.333e-04	2.043e-03
ENSMUSG00000038533	569	228	4.801e-02	4.744e+00	5.353e-01	-1.654e-01	5.005e-03	9.203e-01	1.000e+00
ENSMUSG00000028917	1081	83	6.431e-02	-3.954e+00	4.656e+00	2.556e+00	1.361e+00	9.899e-02	3.322e-01
ENSMUSG00000036052	845	84	6.114e-02	-2.019e+00	4.806e+00	-1.133e+00	-3.322e-01	1.000e+00	1.000e+00
ENSMUSG00000030204.AS2	13227	4269	2.559e-01	7.113e+00	2.053e+00	-3.561e-01	-5.361e-01	1.000e+00	1.000e+00
ENSMUSG00000020173	2352	565	1.467e-01	-2.067e+00	6.097e+00	-2.592e+00	2.908e+00	1.589e-02	1.184e-01
ENSMUSG00000068823	8125	1985	4.280e-01	-7.739e-01	4.236e+00	-2.083e-01	5.610e-01	2.895e-01	4.802e-01
ENSMUSG00000026709	1824	374	6.159e-02	7.359e-02	3.095e+00	3.879e+00	2.797e+00	1.801e-02	1.184e-01
ENSMUSG00000008435	498	114	2.491e-02	2.544e+00	3.790e+00	2.766e+00	9.770e-01	1.622e-01	3.729e-01
ENSMUSG00000040483	56109	7502	4.588e-01	-7.396e-01	2.978e+00	1.206e+00	1.272e+01	4.569e-07	1.051e-05
ENSMUSG00000037685	2449	764	2.446e-01	9.488e-01	5.005e+00	-1.801e+00	1.302e+00	1.067e-01	3.322e-01
ENSMUSG00000057421	4293	320	1.327e-01	-6.401e+00	2.893e+00	-1.356e+00	1.110e+00	1.362e-01	3.519e-01
ENSMUSG00000019841	2390	264	1.019e-01	-7.226e+00	3.464e+00	-6.315e-01	4.857e-01	3.244e-01	5.145e-01
ENSMUSG00000002885	2093	238	6.884e-02	-3.345e+00	4.495e+00	-2.686e+00	1.239e+00	1.155e-01	3.322e-01
ENSMUSG00000022044.AS2	64967	10668	6.110e-01	-6.847e+00	2.282e+00	3.870e-01	1.238e+00	1.156e-01	3.322e-01
ENSMUSG00000064181	3592	774	1.019e-01	3.700e+00	3.770e+00	1.361e+00	1.651e+00	6.919e-02	2.886e-01
ENSMUSG00000036565	9655	177	2.640e-01	6.801e-01	3.626e+00	1.624e-01	1.102e+00	1.377e-01	3.519e-01
ENSMUSG00000040390	1069	130	7.292e-02	-4.299e+00	4.858e+00	1.546e+00	6.579e-01	2.513e-01	4.802e-01
ENSMUSG00000024924	5247	1659	1.975e-01	5.768e+00	1.693e+00	-3.961e-01	3.054e-01	4.345e-01	6.447e-01
ENSMUSG00000027104.AS6	2431	448	1.789e-01	-5.040e+00	4.754e+00	9.698e-02	7.583e-01	2.181e-01	4.778e-01
ENSMUSG00000022607.AS2	4921	287	1.608e-01	-8.380e+00	4.261e+00	5.231e-01	-4.944e-02	1.000e+00	1.000e+00
ENSMUSG00000021694.AS2	2338	556	6.205e-02	-3.025e+00	6.936e+00	1.356e+00	5.591e-01	2.903e-01	4.802e-01
ENSMUSG00000039804	3219	992	9.284e-02	4.410e+00	3.431e-01	1.118e+00	2.157e-01	5.113e-01	7.087e-01
ENSMUSG00000031684.AS2	1261	491	7.065e-02	3.346e+00	3.662e-01	1.130e+00	5.545e-01	2.923e-01	4.802e-01
ENSMUSG00000021009	1169	130	4.846e-02	2.955e+00	3.330e+00	3.919e+00	1.582e+00	7.528e-02	2.886e-01
ENSMUSG00000034269	3742	1261	2.455e-01	-1.327e-01	4.597e+00	6.514e-01	-6.519e-01	1.000e+00	1.000e+00
ENSMUSG00000028334	5088	269	1.739e-01	-5.322e+00	4.756e-01	3.308e-01	8.923e-02	6.727e-01	8.247e-01
ENSMUSG00000036782	1670	214	8.605e-02	-3.239e+00	3.951e+00	1.699e-01	6.606e-01	2.504e-01	4.802e-01
ENSMUSG00000022517	12466	1561	4.380e-01	5.433e-02	2.727e+00	6.495e-01	4.273e+00	3.461e-03	3.980e-02
ENSMUSG00000032118	241340	21639	7.024e-01	-8.172e+00	2.198e+00	-6.558e-01	3.234e+00	1.098e-02	1.010e-01
ENSMUSG00000020640	969	114	7.111e-02	-3.931e+00	1.513e+00	-2.499e+00	1.619e+00	7.198e-02	2.886e-01
ENSMUSG00000026427.AS2	5334	2599	1.413e-01	5.222e+00	3.008e+00	-3.304e-01	1.746e-01	5.546e-01	7.087e-01
ENSMUSG00000018411	40345	8548	6.096e-01	-7.429e+00	2.243e+00	-5.535e-02	-4.082e-01	1.000e+00	1.000e+00
ENSMUSG00000045098.AS2	2793	1506	1.137e-01	5.958e+00	2.448e+00	-1.361e+00	7.190e-01	2.305e-01	4.802e-01
