GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	time_ceoff	time_ELBO_gain	time_pval	time_FDR
Gle1	1837	1837	3.881e-01	3.007e+00	6.766e-01	1.055e-02	3.632e+00	7.036e-03	7.422e-02
Srgap1	2647	2647	4.178e-01	1.170e+00	9.512e-01	-6.232e-04	-7.129e-01	1.000e+00	1.000e+00
Pex5l	538	538	7.241e-02	3.904e-02	1.859e+00	1.263e-03	5.905e-01	2.771e-01	6.758e-01
Dcaf8	745	745	1.595e-01	2.177e+00	1.102e+00	-8.608e-03	2.598e+00	2.263e-02	1.706e-01
Strbp	3845	3845	5.939e-01	2.321e+00	9.455e-01	1.300e-05	4.370e-02	7.675e-01	1.000e+00
Rfc5	437	437	1.096e-01	2.856e+00	8.144e-01	-2.200e-03	-2.816e-01	1.000e+00	1.000e+00
Psen1	902	902	1.853e-01	1.419e+00	1.253e+00	7.320e-03	1.285e+00	1.089e-01	3.957e-01
Necab2	365	365	8.904e-02	1.981e+00	1.446e+00	4.551e-03	-8.264e-02	1.000e+00	1.000e+00
Ankrd12	2327	2327	3.836e-01	2.166e+00	1.399e+00	-7.170e-03	4.136e+00	4.025e-03	5.265e-02
Snapc1	1349	1349	2.828e-01	2.499e+00	9.698e-01	1.125e-02	6.157e+00	4.495e-04	1.131e-02
Zfp277	665	665	9.752e-02	5.725e-01	1.687e+00	-1.138e-02	3.771e+00	6.030e-03	6.800e-02
Mkks	549	549	1.409e-01	3.097e+00	6.752e-01	-4.925e-03	8.641e-02	6.776e-01	1.000e+00
Sik2	524	524	8.480e-03	-2.892e+00	7.046e-01	-9.141e-04	-3.325e-01	1.000e+00	1.000e+00
Dmxl1	1579	1579	2.345e-01	1.288e+00	1.442e+00	-4.241e-03	3.929e+00	5.060e-03	5.909e-02
Dync1i1	3354	3354	4.083e-01	8.953e-01	9.548e-01	6.880e-04	1.187e+00	1.234e-01	4.261e-01
Cenpx	399	399	1.125e-01	3.695e+00	4.537e-01	-1.779e-03	-3.129e+00	1.000e+00	1.000e+00
Rbfox1	7364	7364	7.290e-01	1.274e+00	7.251e-01	-1.671e-03	5.859e-01	2.790e-01	6.758e-01
Fam213b	655	655	1.706e-01	3.537e+00	4.669e-01	4.448e-03	-7.177e-01	1.000e+00	1.000e+00
Bsn	1764	1764	3.549e-01	1.975e+00	7.411e-01	1.731e-03	-3.822e-01	1.000e+00	1.000e+00
Mlec	902	902	2.237e-01	3.004e+00	7.750e-01	-9.753e-04	-2.629e-02	1.000e+00	1.000e+00
Tsr1	1011	1011	1.686e-01	1.074e+00	1.416e+00	-9.919e-03	5.936e+00	5.696e-04	1.249e-02
Asph	2859	2859	3.033e-01	-3.927e-02	7.669e-01	-1.413e-03	-8.468e-01	1.000e+00	1.000e+00
Pip5k1b	773	773	6.523e-03	-3.499e+00	6.023e-01	4.589e-05	-7.453e-01	1.000e+00	1.000e+00
Depdc5	751	751	6.556e-02	-7.906e-01	9.993e-01	-7.377e-03	3.980e+00	4.780e-03	5.789e-02
Borcs7	547	547	1.347e-01	2.761e+00	7.299e-01	-2.207e-03	2.496e-01	4.798e-01	1.000e+00
Ranbp10	594	594	1.230e-01	1.587e+00	1.268e+00	7.622e-04	-9.185e-01	1.000e+00	1.000e+00
Eif3c	5704	5704	7.704e-01	4.304e+00	3.954e-01	1.255e-03	-1.544e+00	1.000e+00	1.000e+00
